,system,perc,H,dH
0,Graphene,20.0,4.245286574729721,0.10095368898753332
1,Graphene,30.000000000000004,4.245286574729721,0.011997809776107538
2,Graphene,40.0,4.245286574729721,-0.12990272962208582
3,Graphene,50.0,4.245286574729721,0.09609996355418371
4,Graphene,60.00000000000001,4.245286574729721,-0.046648392311294806
5,Graphene,70.0,4.245286574729721,0.006753554710189569
6,Graphene,80.0,4.245286574729721,0.027601352103988397
7,Graphene,90.00000000000001,4.245286574729721,-0.04018919122143583
8,Graphene,100.0,4.245286574729721,0.0
9,Graphite,20.0,5.609408378601074,0.5312480926513672
10,Graphite,30.000000000000004,5.609408378601074,0.29772090911865234
11,Graphite,40.0,5.609408378601074,0.1748790740966797
12,Graphite,50.0,5.609408378601074,0.22824382781982422
13,Graphite,60.00000000000001,5.609408378601074,0.14186525344848633
14,Graphite,70.0,5.609408378601074,0.09326171875
15,Graphite,80.0,5.609408378601074,0.0664067268371582
16,Graphite,90.00000000000001,5.609408378601074,0.037302494049072266
17,Graphite,100.0,5.609408378601074,0.0
