,mol,num_points,entropy,diversity
0,azobenzene,10.0,5.23327112197876,197.40646
1,azobenzene,50.0,6.255599021911621,641.42004
2,azobenzene,100.0,6.5773773193359375,978.3549
3,azobenzene,500.0,7.071403503417969,2207.9722
4,azobenzene,1000.0,7.129262447357178,2722.651
5,azobenzene,5000.0,7.261737336914393,4295.135
6,azobenzene,10000.0,7.270283486573948,4858.727
7,benzene,10.0,3.416055917739868,35.428024
8,benzene,50.0,3.7041614055633545,58.978943
9,benzene,100.0,3.644380807876587,56.721107
10,benzene,500.0,3.7389745712280273,71.413956
11,benzene,1000.0,3.779331684112549,77.22158
12,benzene,5000.0,3.7788949012756348,81.54444
13,benzene,10000.0,3.766862690929212,87.11565
